i,x_i,f(x_i),S(x_i),inaccuracy
0,-0.046875,-0.04576318169476555,-0.04836248399993875,0.002599302305173197
1,0.046875,0.047961051397690135,0.04865471357708007,0.0006936621793899381
2,0.140625,0.1501875658356597,0.14999953003418787,0.0001880358014718364
3,0.234375,0.26039632081979264,0.2604449978073209,4.8676987528251114e-05
4,0.328125,0.37814537813115356,0.37813096667526136,1.4411455892204827e-05
5,0.421875,0.5030538757472174,0.5030566223997397,2.7466525223118765e-06
6,0.515625,0.6347896630063895,0.6347880059753811,1.6570310084063067e-06
7,0.609375,0.7730600996847589,0.7730597733514025,3.263333563374715e-07
8,0.703125,0.9176050642597163,0.917604500414398,5.638453183243186e-07
9,0.796875,1.0681915430330937,1.0681911381449456,4.048881481200084e-07
10,0.890625,1.224609375,1.2246090047727192,3.7022728083258016e-07
11,0.984375,1.386667857780923,1.386667541570963,3.1620995999404045e-07
12,1.078125,1.5541930059224316,1.5541927276301473,2.782922843280744e-07
13,1.171875,1.727025310920644,1.7270250662201894,2.44700454565816e-07
14,1.265625,1.905017892348,1.905017675484669,2.1686333084858234e-07
15,1.359375,2.0880349575931096,2.0880347645210873,1.9307202236973353e-07
16,1.453125,2.2759505078343265,2.275950335082364,1.727519625127627e-07
17,1.546875,2.46864724247181,2.4686470872191704,1.5525263963311886e-07
18,1.640625,2.666015625,2.6660154849137294,1.400862705835948e-07
19,1.734375,2.8679530813297807,2.8679529543856512,1.2694412943048405e-07
20,1.828125,3.0743633076320784,3.0743631924150177,1.1521706078099214e-07
21,1.921875,3.2851556694039323,3.285155563637088,1.0576684417173965e-07
22,2.015625,3.500244677029345,3.500244582806852,9.422249291901608e-08
23,2.109375,3.719549525888466,3.7195494299388443,9.594962158132603e-08
24,2.203125,3.9429936912538395,3.942993638433832,5.2820007478970865e-08
25,2.296875,4.170504569943536,4.170504388823322,1.81120213937902e-07
26,2.390625,4.40201316208282,4.402013488969328,3.26886508084101e-07
27,2.484375,4.637453787437157,4.637452244580307,1.5428568502784401e-06
28,2.578125,4.876763831678822,4.876769290329071,5.4586502491460465e-06
29,2.671875,5.119883518682143,5.11986286857667,2.0650105473585256e-05
30,2.765625,5.366755705543016,5.366832513839488,7.680829647149778e-05
31,2.859375,5.617325697513307,5.618554827762836,0.0012291302495288647
