i,X,A,B,C,D
0,0.0,0.0,1.027035644942393,0.0,2.137814838067372
1,0.09375,0.09804609685946197,1.0834038096179974,0.6012604232064483,-0.6994529497155418
2,0.1875,0.2043233879784691,1.1776975318966287,0.4045392810989522,0.07928781158838147
3,0.28125,0.31835338376264355,1.2556392436972978,0.4268389781081845,-0.11480915888832183
4,0.375,0.4397264774834465,1.3326443574734568,0.394548902170844,-0.05111524750117131
5,0.46875,0.5680874832909761,1.4052745113155176,0.38017273881113955,-0.058655556206838315
6,0.5625,0.703125,1.4750103177941838,0.3636758636279663,-0.04876022279744695
7,0.65625,0.8445634100028399,1.5419138722873855,0.3499620509661843,-0.04482203542498948
8,0.75,0.9921567416492215,1.6063499258313627,0.33735585350290603,-0.04030336061216625
9,0.84375,1.1456838799312727,1.6685414620970165,0.3260205333307343,-0.03675393387647949
10,0.9375,1.3049447725382863,1.7287012142306455,0.3156834894279744,-0.03360464514011517
11,1.03125,1.4697573839168574,1.7870058085191103,0.306232182982317,-0.03088910232990156
12,1.125,1.6399552204252408,1.8436098840754556,0.2975446229520322,-0.0285052378465021
13,1.21875,1.8153852977527594,1.8986478979279307,0.2895275248077035,-0.026406687969803895
14,1.3125,1.9959064552541033,1.9522380387364213,0.28210064381619615,-0.02454686209146553
15,1.40625,2.1813879455843304,2.004484677736656,0.27519683885297147,-0.022890526144722954
16,1.5,2.3717082451262845,2.0554805262267566,0.26875887837476814,-0.021408213962758025
17,1.59375,2.5667540432147713,2.1053083415304292,0.26273781819774245,-0.02007573826669942
18,1.6875,2.7664193774399064,2.154042341687427,0.25709151681023323,-0.018873281120000997
19,1.78125,2.970604889278129,2.2017493657473146,0.25178340649523295,-0.017783100295980167
20,1.875,3.1792171795899695,2.248489864125335,0.24678190953698853,-0.01679468475042582
21,1.96875,3.392168247584703,2.2943186435617027,0.24205840445093127,-0.01588260588744392
22,2.0625,3.609375,2.3392858147488296,0.23759142154508767,-0.015086968261135623
23,2.15625,3.8307588197073468,2.3834364053675854,0.23334821172164327,-0.014211397440414034
24,2.25,4.056245184896988,2.4268144804844454,0.22935125619152683,-0.013948762557893839
25,2.34375,4.285763331541346,2.4694500513825997,0.22542816672211918,-0.011678795700815117
26,2.4375,4.51924595307392,2.5114098956469793,0.22214350543126493,-0.017150679541301252
27,2.53125,4.756628932219553,2.5526095877321233,0.21731987681027395,0.006045907138725721
28,2.625,4.9978511007231905,2.593516478201184,0.21902028819304056,-0.0779516363278365
29,2.71875,5.242854023387155,2.6325274168263917,0.19709639047583655,0.23792257745557382
30,2.8125,5.491581803371866,2.6757563392508654,0.2640121153852167,-0.9387097435918815
31,2.90625,5.74398090616522,2.6757563392508654,0.0,0.0
